,Name of movie,Genres,Year of release,Watch time,Movie Rating,Meta score,Votes
253,Tâm trạng khi yêu,"Drama, Romance            ",2000,98,8.1,87,"156,320"
254,Stalker,"Drama, Sci-Fi            ",1979,162,8.1,83,"138,153"
255,Relatos salvajes,"Comedy, Drama, Thriller            ",2014,122,8.1,77,"204,688"
256,Bức Chân Dung Bị Thiêu Cháy,Drama            ,2019,122,8.1,95,"98,413"
257,Hachiko: Chú Chó Trung Thành,"Biography, Drama, Family            ",2009,93,8.1,^^^^^^,"294,181"
258,Cool Hand Luke,"Crime, Drama            ",1967,127,8.1,92,"181,344"
259,Hàng Xóm Của Tôi Là Totoro,"Animation, Comedy, Family            ",1988,86,8.1,86,"351,533"
260,La haine,"Crime, Drama            ",1995,98,8.1,^^^^^^,"180,887"
261,Ben-Hur: Truyền Thuyết Đức Chúa Trời,"Adventure, Drama            ",1959,212,8.1,90,"244,810"
262,Dáng Hình Thanh Âm,"Animation, Drama            ",2016,130,8.1,78,"89,020"
263,Trước Lúc Hoàng Hôn,"Drama, Romance            ",2004,80,8.1,90,"273,190"
264,Network,Drama            ,1976,121,8.1,83,"163,196"
265,Người Máy Khổng Lồ,"Animation, Action, Adventure            ",1999,86,8.1,85,"208,203"
266,"Paris, Texas",Drama            ,1984,145,8.1,81,"110,310"
267,In the Name of the Father,"Biography, Crime, Drama            ",1993,133,8.1,84,"179,566"
268,Khách Sạn Rwanda,"Biography, Drama, History            ",2004,121,8.1,79,"361,462"
269,Cầu Sông Kwai,"Adventure, Drama, War            ",1957,161,8.1,87,"225,311"
270,Phong Ấn Thứ Bảy,"Drama, Fantasy            ",1957,96,8.1,88,"189,522"
271,Amores perros,"Drama, Thriller            ",2000,154,8.1,83,"245,045"
272,The Grapes of Wrath,Drama            ,1940,129,8.1,96,"95,970"
273,Persona,"Drama, Thriller            ",1966,85,8.1,86,"123,329"
274,Rebecca,"Drama, Film-Noir, Mystery            ",1940,130,8.1,86,"140,570"
275,Paper Moon,"Comedy, Crime, Drama            ",1973,102,8.1,77,"49,620"
276,All Quiet on the Western Front,"Drama, War            ",1930,152,8.1,91,"65,390"
277,On the Waterfront,"Crime, Drama, Thriller            ",1954,108,8.1,91,"158,284"
278,Người Thứ Ba,"Film-Noir, Mystery, Thriller            ",1949,104,8.1,97,"175,127"
279,Neon Genesis Evangelion: The End of Evangelion,"Animation, Action, Drama            ",1997,87,8.1,^^^^^^,"58,320"
280,The Man Who Shot Liberty Valance,"Drama, Western            ",1962,123,8.1,94,"78,830"
281,Festen,Drama            ,1998,105,8.1,82,"89,852"
282,Mary Và Max,"Animation, Comedy, Drama            ",2009,92,8.1,^^^^^^,"180,542"
283,Ba Sắc Màu: Đỏ,"Drama, Mystery, Romance            ",1994,99,8.1,100,"106,149"
284,The Best Years of Our Lives,"Drama, Romance, War            ",1946,170,8.1,93,"66,944"
285,Chuyện Xảy Ra Trong Đêm,"Comedy, Romance            ",1934,105,8.1,87,"107,027"
286,Peekay Ngây Thơ,"Comedy, Drama, Sci-Fi            ",2014,153,8.1,^^^^^^,"192,788"
